227, 2020-11-01 1883 289 231 651;
228, 2020-11-02 2547 430 418 924;
229, 2020-11-03 3311 469 430 1667;
230, 2020-11-04 3681 540 394 1995;
231, 2020-11-05 2989 447 367 1688;
232, 2020-11-06 3140 434 405 2100;
233, 2020-11-07 2458 394 306 1663;
234, 2020-11-08 1814 323 271 693;
235, 2020-11-09 2670 484 551 1162;
236, 2020-11-10 3168 472 472 2251;
237, 2020-11-11 2588 351 329 1826;
238, 2020-11-12 2371 386 418 1255;
239, 2020-11-13 2841 473 467 2266;
240, 2020-11-14 2202 327 359 2026;
241, 2020-11-15 1574 270 302 685;
242, 2020-11-16 2065 366 508 1117;
243, 2020-11-17 2513 382 437 2326;
244, 2020-11-18 2435 361 427 2294;
245, 2020-11-19 2221 311 436 2230;
246, 2020-11-20 1968 264 386 1970;
247, 2020-11-21 1515 220 276 1687;
248, 2020-11-22 906 171 215 513;
249, 2020-11-23 1380 244 501 960;
250, 2020-11-24 1786 270 457 2135;
251, 2020-11-25 1677 258 384 1929;
252, 2020-11-26 1460 192 340 1729;
253, 2020-11-27 1471 206 396 1720;
254, 2020-11-28 976 122 213 1237;
255, 2020-11-29 652 102 198 306;
256, 2020-11-30 1257 196 408 888;
257, 2020-12-01 1572 234 365 1768;
258, 2020-12-02 1253 161 312 1549;
259, 2020-12-03 1450 184 326 1403;
260, 2020-12-04 1400 165 284 1434;
261, 2020-12-05 1019 125 216 1041;
262, 2020-12-06 627 101 175 236;
263, 2020-12-07 1206 203 366 706;
264, 2020-12-08 1597 214 380 1620;
265, 2020-12-09 1380 170 296 1423;
266, 2020-12-10 1445 191 297 1438;
267, 2020-12-11 1340 180 306 1241;
268, 2020-12-12 1097 127 199 875;
269, 2020-12-13 669 89 150 266;
270, 2020-12-14 1324 210 372 693;
271, 2020-12-15 1562 211 314 1476;
272, 2020-12-16 1664 220 292 1263;
273, 2020-12-17 1364 151 261 1233;
274, 2020-12-18 1285 176 264 1188;
275, 2020-12-19 1004 123 190 916;
276, 2020-12-20 599 91 131 245;
277, 2020-12-21 1284 179 354 690;
